Turkish Translation,English Sentence
Hemşireler doktorlar kadar gençtir.,The nurses are as young as the doctors.
Bu kitap o kitaptan daha eskidir.,This book is older than that book.
İşçiler müdürlerden daha yorgundu.,The workers were tired (more tired) than the managers.
En pahalı araba bu olacak.,This will be the most expensive car.
Pilotlar hostesler kadar hazırlıklı mı?,Are the pilots as prepared as the hostesses?
En genç öğrenci sınıftaydı.,The youngest student was in the classroom.
Dizüstü bilgisayar modemden daha pahalı değil.,The laptop isn't more expensive than the modem.
Yemekler dün kadar lezzetli mi?,Are the meals as delicious as yesterday?
En iyi dosya bilgisayardaydı.,The best file was in the computer.
Polisler suçlulardan daha hızlı olacak.,The police will be faster than the criminals.
Ofis ev kadar sessiz miydi?,Was the office as quiet as the house?
En zor iş bu değildi.,This wasn't the most difficult job.
Avukatlar müdürler kadar meşgul olacak.,The lawyers will be as busy as the managers.
Şehir kasabadan daha kalabalık mı?,Is the city crowded (more crowded) than the town?
En yeni motosiklet benimki olacak.,The newest motorbike will be mine.
Bu oda diğeri kadar geniş değil.,This room isn't as large as the other one.
En yavaş işçi dışarıdaydı.,The slowest worker was outside.
Senin evin benimki kadar büyük mü?,Is your house as big as mine?
Sorular beklediğimden daha kolaydı.,The questions were easier than I expected.
En önemli toplantı yarın olacak.,The most important meeting will be tomorrow.
