Turkish Translation,English Sentence
İşçiler evi boyuyor.,The workers are painting the house.
Pilotlar uçak kontrol ediyor.,The pilots check planes.
Avukatlar dosyayı kaydediyor.,The lawyers are saving the file.
Oto tamircileri araba tamir ediyor.,The car mechanics repair cars.
Doktorlar ilacı hazırlıyor.,The doctors are preparing the medicine.
Hostesler yemek hazırlıyor.,The hostesses prepare food.
Elektrikçiler modemi tamir ediyor.,The electricians are repairing the modem.
Öğrenciler kitabı açıyor.,The students are opening the book.
İşçiler ev boyuyor.,The workers paint houses.
Hemşireler ilacı veriyor.,The nurses are giving the medicine.
Avukatlar dosya kaydediyor.,The lawyers save files.
Polisler sokağı izliyor.,The police are watching the street.
Elektrikçiler modem tamir ediyor.,The electricians repair modems.
Pilotlar uçağı kontrol ediyor.,The pilots are checking the plane.
Doktorlar ilaç hazırlıyor.,The doctors prepare medicine.
Öğretmenler dizüstü bilgisayarı gösteriyor.,The teachers are showing the laptop.
Öğrenciler kitap açıyor.,The students open books.
Oto tamircileri arabayı tamir ediyor.,The car mechanics are repairing the car.
Müdürler parayı harcıyor.,The managers are spending the money.
Hostesler yemeği hazırlıyor.,The hostesses are preparing the food.
