Turkish Translation,English Sentence
Hemşireler gençti.,The nurses were young.
Doktorlar ofiste değildi.,The doctors weren't in the office.
İşçiler yorgun mu?,Are the workers tired?
Pilotlar uçakta olacak.,The pilots will be on the plane.
Adam (bir) müşteridir.,The man is (a) customer.
Hostesler hastanede miydi?,Were the hostesses in the hospital?
Kitaplar masada olmayacak.,The books won't be on the table.
Biz hazırız.,We are ready.
Sen dün burada mıydın?,Were you here yesterday?
Her şey yeni olacak.,Everything will be new.
Avukatlar ofiste mi?,Are the lawyers in the office?
Öğrenciler sınıfta değildi.,The students weren't in the classroom.
Polisler sokakta olacak.,The police will be in the street.
Modeller eski miydi?,Were the models old?
Yemekler lezzetli değil.,The meals aren't delicious.
Müdürler toplantıda olacak mı?,Will the managers be in the meeting?
Ben orada olmayacağım.,I won't be there.
Kapılar kapalı mı?,Are the doors closed?
Dosya bilgisayardaydı.,The file was in the computer.
Onlar mutlu olacak mı?,Will they be happy?
